,log2FoldChange,padj
TPD52L1,-3.054175955,0.011472127
LOC121109994,-1.58975139,0.0115278
GCG,-1.118051806,0.011730389
MMP1,3.249975463,0.011730389
LOC121111336,-1.719574237,0.011888583
TDH,-1.507421937,0.012081289
LOC419840,-1.548266499,0.012118992
LOC107050495,2.062999582,0.012371034
KCNA6,-1.620080757,0.012578958
DNAH3,-1.158300138,0.012695114
KIF25,-1.511429655,0.012794462
GC,-1.12351244,0.013059937
GALNT9,-1.028121012,0.01317639
HABP2,-2.717692197,0.01324745
HS3ST3B1L,-1.970514275,0.01324745
DOCK3,-1.679835983,0.013327267
LOC415852,-1.393283965,0.013346553
C10orf128,-1.169758617,0.013368345
KCTD16,-2.434330254,0.013368345
LOC101751171,1.821285871,0.013368345
J6367_mgp12,-1.37774477,0.01341063
EML5,-1.396201028,0.013478463
SRPX,-1.101019374,0.013514066
CXCL14,-2.625486445,0.013877887
HBBA,-1.78337826,0.013898751
PIK3C2G,-1.508990701,0.013898751
LOC101752313,-3.26311546,0.014153815
FAM46C,-1.78419548,0.014256731
LOC100857497,-1.333584238,0.014371123
LOC424199,-2.036368921,0.014371123
LOC771303,-1.014515598,0.014371123
GP1BB,-1.133039725,0.014480158
JCHAIN,-2.719418436,0.014573296
ABCC5,-1.023859914,0.014664337
ABI3BP,-2.421762721,0.014664337
GRIK1,-2.22852834,0.01470984
LOC121107464,-1.118849847,0.014725504
LOC121107764,-1.17095248,0.014760247
BDH1A,1.066201391,0.014806975
DNAH9,-1.350112358,0.014806975
LOC101751892,-1.151534967,0.014806975
PRKAA2,-1.059062607,0.014806975
RAP1GAP1,-1.109746871,0.014902123
LOC426514,1.053990055,0.014932399
RDH10,-1.257335649,0.014932399
LOC101748473,-2.258508499,0.014953771
GATSL3,-1.026662968,0.015028108
ITGB6,1.622852502,0.015028108
LOC101750768,-1.256822766,0.015036968
NEK3,-1.123945714,0.015191377
MTURN,-1.446762219,0.015324743
GPRC5A,1.905252517,0.015463601
LOC101752086,-1.288684345,0.015642186
MTR,-1.070082625,0.016087019
PER2,-1.053966685,0.016087019
LOC107053124,-1.427681519,0.016139776
CORO1B,1.022248879,0.016485646
LOC107053666,-1.327822304,0.016551673
SCN2A,-1.631997192,0.016854427
SLC16A12,-1.293456064,0.016945797
HUNK,-1.471986137,0.016973389
LOC121113430,-1.542670753,0.016973389
SP6,2.93395999,0.017071065
AGR2,1.363894157,0.017241633
LOC121106668,-1.25351659,0.017394163
LOC771085,-2.473756564,0.01762184
MHCY7,-1.362689406,0.017687213
FAM227B,-2.098197066,0.017710678
LOC107054136,-1.513859181,0.017710678
LOC121113489,-2.957077794,0.017726513
ATP8B2,-1.163855591,0.017977232
LOC121106603,-1.741617918,0.018205207
LOC107049256,-1.1606982,0.01825394
CTSO,-1.288247202,0.018331557
MIS12,1.280760172,0.018404575
PODN,-1.109828198,0.018505377
LOC112533599,1.360788255,0.018517056
LOC101749531,1.110321267,0.018527957
SARAF,1.081665295,0.01854621
EPHB2,1.362226979,0.01855931
GAL3ST1,-1.280498663,0.01855931
PITX3,-1.349512546,0.01855931
NRCAM,-1.393677852,0.018617072
PECAM1,-1.064586062,0.018617072
FZD4,-1.400916608,0.018659469
LRRC56,-1.165567022,0.019020704
PRF1,1.172544224,0.019020704
DNM1,-1.080533,0.019077955
LOC121106795,-2.181378643,0.019221526
LOC107054592,-1.932638005,0.01925694
LOC121107803,-5.106522362,0.019477203
LOC121108974,1.025897419,0.019541418
J6367_mgp01,-1.621832908,0.019544423
LOC121109567,1.077976406,0.019687921
ADM2,1.534771101,0.019744156
AQP4,-1.508383418,0.019799195
BDKRB2,-1.533120753,0.019799195
IQUB,-1.038143802,0.019799195
MYT1,-1.461198272,0.019799195
MINAR1,-1.77350356,0.019827111
RPL36A,-1.372559763,0.019827111
LOC422643,-4.500255744,0.019995929
LOC770492,-2.642638192,0.020238625
LOC112533095,-2.024629654,0.020286205
MT4,-1.723924084,0.020286205
B3GNT7,1.131558106,0.02039084
HSPB9,1.938985381,0.020654002
USP41,1.280579494,0.020654002
ANK1,-1.653868743,0.020916306
J6367_mgp02,-1.293249446,0.020916306
LOC112530794,-1.143280322,0.020916306
LOC124417550,2.016634525,0.020916306
RAB26,-1.010080522,0.020980368
IL1RL2,-1.441247065,0.021215971
NPL,-1.586934848,0.021323636
LOC121110770,2.455543059,0.02143329
ATP2B2,-1.851004111,0.021502321
CMPK2,1.19203676,0.021709982
G6PC,-1.572455715,0.021773899
FAM46D,-1.4026309,0.021854578
LOC107053142,-1.426763579,0.021854578
STEAP3,1.046716075,0.021880542
IL18BP,1.701918272,0.021949282
LOC121108855,-2.599748458,0.021949282
LOC121110301,-1.499102782,0.022422964
STC2,-2.233695074,0.022631841
LOC101748011,-1.811930132,0.022701938
J6367_mgp13,-1.139245372,0.022826149
DFNB59,-1.458144781,0.02283899
LIPH,-1.349479595,0.02283899
LOC112531602,-4.041150177,0.02283899
LOC121107752,-1.397807464,0.02283899
LOC124417098,-2.817716326,0.02283899
TNFRSF13B,-2.200196819,0.02283899
LOC124418037,-1.356922839,0.022905356
LOC107052653,-1.163388484,0.022985915
SH3BGR,2.24930036,0.023005777
SCT,-1.268904434,0.023218693
FAM180B,-2.331978372,0.023391554
NFKBIE,1.028640342,0.023395599
LOC124417133,-1.375292138,0.023406715
NEFM,-1.831234401,0.023765745
LOC100857280,-1.517194071,0.02406468
PCK1,-2.114719983,0.02406468
TMPRSS11D,-1.696619492,0.024107176
LAPTM4B,1.248719587,0.024175604
LOC112531190,1.447537975,0.024642082
FAM3B,1.374266759,0.024678459
LOC107050620,1.048597965,0.024678459
SYCP1,-2.319359096,0.024963684
KCNIP4,-3.953706459,0.025173609
KCNMB2,-1.913871646,0.025173609
LAG3,1.211279966,0.025173609
LOC121110175,-1.598041454,0.025173609
ANGPTL6,1.36331099,0.025194149
ANK2,-1.327821513,0.025249933
CABLES2,-1.191018453,0.025249933
IFNG,1.204387074,0.025319252
LOC101747766,-3.079958982,0.025356977
PKD1L2,-1.750605122,0.025356977
LOC107054448,-2.797791719,0.025357715
NPY4R,-2.418479464,0.025357715
DZIP1L,-1.48720974,0.025457632
MYBPC1,2.207895709,0.025612847
LOC107051964,-1.36073629,0.025687969
LOC112532697,-2.489528116,0.025786327
LOC101748577,1.14528253,0.025923838
LOC112533164,-1.291809067,0.026000195
PAX6,-1.071856323,0.026119432
NPY6R,-1.699427347,0.026305808
GLRA3,-4.65940759,0.026384263
LOC121107016,1.807929936,0.026384263
ARHGEF1,-1.243657976,0.02641451
LOC107051820,-2.286908606,0.02641451
LOC422895,-2.143461474,0.026451342
LOC121113273,-1.186682271,0.026568564
PITPNM3,-1.047528425,0.026568564
ANXA2,1.149852694,0.026647982
LOC107053039,-1.670270883,0.027049253
LOC101750121,-1.062152716,0.027051965
CTNNA2,-2.86499438,0.027337093
LOC112530237,-1.583412857,0.027337093
ADAMTS13,-1.861152059,0.027732959
TENM1,-1.421136471,0.027793664
LOC107054098,-1.100084831,0.027847868
LOC121106856,-2.166969762,0.027847868
PDK4,-1.438252516,0.028070013
BLVRA,-2.429720665,0.02810429
LOC121110925,-1.523712139,0.028160588
A2ML2,-2.573333725,0.028263908
COL25A1,-1.513888208,0.028263908
FKBP1B,-2.318254706,0.028454802
MYOM1,-1.052784344,0.028704181
FAP,-1.702478837,0.028749551
COLQ,-1.210623885,0.028756386
PRR15L,1.126308996,0.028762252
PPP1R3C,-1.984693132,0.028799639
RAX,-3.10417255,0.028799639
ASCL1,1.446355812,0.028816837
LOC112532953,-1.633419541,0.028816837
SGCD,-2.003113988,0.029040052
DRD1,-1.236828079,0.029110533
LOC107052824,-1.024324215,0.029110533
SERPINA10,1.715653405,0.029110533
DIRAS2,-1.909699166,0.029203614
LOC121111703,-2.690646206,0.029552225
NPFFR1,1.714991196,0.029552225
PHTF2,-1.019905929,0.029552225
C2orf88,1.119991903,0.030180091
TRNAR-CCG,3.137714907,0.030193602
FAM132A,-1.612924245,0.030257707
EREG,1.067618509,0.030412063
LOC107053719,-1.582774214,0.030412063
LOC121106622,-1.367424188,0.03046688
LOC121107740,-1.423923366,0.030481889
GDF10,-2.920606455,0.030650541
LOC101747613,-1.441256478,0.030868683
LOC112532945,-2.694475701,0.030902235
SCNN1B,-1.513921787,0.030902235
LOC121108471,-1.434321821,0.030968657
LOC101750931,-1.644741448,0.031457741
GIMAP7L5,1.147138368,0.031566968
TMPRSS11F,-1.008525719,0.031652297
J6367_mgp07,-1.106223052,0.031667827
LOC101750669,-1.651049613,0.031860807
EPB42,-1.441164205,0.031991032
ACPP,-1.838656048,0.032546128
LOC101748714,-1.220386747,0.032546128
LOC107053667,-1.558245547,0.032546128
A2M,-1.806981848,0.032659497
COMP,-1.066134966,0.032915239
IQCF6,-1.12795685,0.032956029
LOC107049469,1.337644898,0.032956029
LOC121113246,-1.246821323,0.032983883
RAB2B,1.5737419,0.033116606
CERS3,-1.106475904,0.033171819
J6367_mgp10,-1.105020132,0.033194738
LOC121107117,-1.017196475,0.033231276
CCR10,-2.205934858,0.033297064
MMP23A,-1.236981893,0.033297064
LOC124417163,1.009480691,0.033389891
TSNARE1,-1.185767792,0.033391986
IGLL1,-2.41247116,0.033499936
LRGUK,-2.402139577,0.033499936
LOC124418077,-1.107179092,0.033633641
LOC101747295,1.019263431,0.033964871
CCDC60,-1.531614495,0.034006983
LOC107051722,-2.100082501,0.034094599
RTN4R,-4.186500177,0.03421353
SC5D,1.011341383,0.034303587
LOC101747310,1.325200565,0.034774644
ANGPTL2,-1.930841905,0.03504836
PDE9A,1.118453703,0.03544169
ABCD2,-1.344418625,0.035646092
LOC101750074,-1.616245151,0.035646092
SNPH,1.515544223,0.035810152
TERB1,-1.207309732,0.035810152
TMEM136-1,1.792683068,0.035815112
ARHGAP40,-2.163817166,0.036187345
ADCY6,-1.344055744,0.03658968
FZD3,-1.038722978,0.03668409
VWA5A2,-2.220734725,0.03668409
SERF2,-1.050064258,0.036687418
LOC107051353,2.877687994,0.036827014
RNF2,-1.027130945,0.036847476
PLXDC2,-2.035322928,0.036856248
CBLN1,-2.552690896,0.037268864
PTPRS,-1.404108427,0.037759278
EVC2,-1.599893489,0.038007563
LOC121113144,-1.079096686,0.038007563
CSF3,1.556936116,0.038096996
SYBU,-1.525831387,0.038103064
A2ML1,-1.500523887,0.038257345
LOC107054425,2.192333652,0.038474738
CRISPLD1,-1.473429299,0.038547702
LOC112532538,-1.694509709,0.038547702
TMEM88B,-1.778476709,0.038547702
TMPRSS7,-1.356178981,0.038547702
LOC101749745,-1.900425132,0.038859329
LOC107053887,-1.837937155,0.038859329
TDRD12,-1.324571557,0.038899169
LOC112532656,-1.809512495,0.038978683
SULF2,-1.264911695,0.038978683
LOC124417901,2.367845967,0.039138734
LOC124417332,-1.354674246,0.039341241
LOC121111322,-1.115713207,0.039424541
MOG,-1.776526061,0.039518788
CCDC102B,-2.925957927,0.039520148
H1F0,-1.586609593,0.039565972
HIST1H46L6,1.692655042,0.039592446
MSMP,-2.151693582,0.039635842
GHR,-2.083598719,0.039860531
LOC121108952,1.616857728,0.039950063
FGF22,1.192330225,0.040138949
LOC101749540,-1.031214301,0.040550343
LOC121110446,-3.403039134,0.040587744
LOC124417178,-1.970010535,0.040644616
LOC101749407,-1.069195134,0.040770582
GATA2,-1.052045325,0.04080123
LOC121111407,-1.465019189,0.040831714
CKS1B,1.028861135,0.040897937
LOC419250,-1.422354704,0.040958964
J6367_mgp06,-1.086448479,0.04105074
NMUR1,-1.447112212,0.041533283
LOC121108083,-1.336561467,0.041622315
COL26A1,-2.148450612,0.041635511
PLXDC1,-1.215745331,0.041635511
B3GNT3,1.208255521,0.04170121
DLK2,-1.118408191,0.04170121
LOC121113250,-3.184258815,0.04170121
LOC101749148,-1.202939593,0.042185919
CNGA1,3.18797079,0.042296778
LOC100857892,-2.759310046,0.042296778
CERKL,-1.186710985,0.042618499
SLC2A12,-2.748098205,0.042912586
TLR5,-1.583435619,0.042925853
HLF,-1.068679202,0.043059801
PRRT3,-1.316601994,0.043531611
SPERT,-2.381197645,0.043551688
LRRC26,2.57292404,0.043634018
LOC419322,-1.12775061,0.043754923
NKX6-2,1.445390878,0.043754923
GPC2,-1.250890646,0.043833928
GFRA2,-2.004347295,0.044145149
GPRIN1,1.101788325,0.044145149
LOC124418341,-1.387627072,0.044185665
LOC107054419,-2.456320787,0.044262717
ASIC5,-1.297730996,0.044324732
LOC121109149,-1.677188246,0.044573945
LIN7A,-1.552410568,0.044811473
CS,1.051844013,0.044852673
LOC101750810,-2.392283421,0.044886178
LOC107053405,-1.119607839,0.044886178
LOC121106968,2.043656377,0.045035286
LOC121110194,-1.48968344,0.045035286
LOC107055286,2.989519618,0.045423077
CNTNAP1,-1.893798392,0.045552535
J6367_mgp11,-1.052163034,0.045552535
LOC124417695,1.792747479,0.045590113
LOC770271,-1.311105058,0.045616055
SLC19A2,-1.055944979,0.046211522
